id	剧本id	播放顺序	所属关卡（策划用）	使用文本框(31:旁白普通框;11:左普通框;12:左爆炸框;22:右爆炸框)	发言人	语言包文本信息	语言特效ID（预留）	左头像ID	左头像镜像(0:否;1:是)	左是否高亮	左头像动作	右头像ID	右头像镜像(0:否;1:是)	右是否高亮	左头像动作	镜头动作(瞬时)	镜头效果(持续)	自动关闭对话框(毫秒)	音效	背景是否置灰
159	3016	1	3-3-3结束2	22	夜刀神十香	[{"text":"这是什么……！？"}]														
160	3016	2		11	时崎狂三	[{"text":"真是花了不少时间呢。"}]														
161	3016	3		11	时崎狂三	[{"text":"不过无妨，接下来就从你们身上取回来就好。"}]														
162	3017	1	3-3-4开场	11	时崎狂三	[{"text":"您是哪位啊？可以不要打断故事的高潮吗？"}]														
163	3017	2		21	五河琴里	[{"text":"很抱歉，你做地太过分了，现在开始进入爱的惩罚时间。"}]														
164	3017	3		11	时崎狂三	[{"text":"惩罚，你要惩罚我吗？嘻嘻嘻嘻……"}]														
165	3017	4		11	时崎狂三	[{"text":"你还真是过度自信呢，我的「刻刻帝」会——"}]														
166	3017	5		22	五河琴里	[{"text":"别说废话了，开始我们的「战争」吧！"}]														
167	3018	1	3-3-4过场	11	时崎狂三	[{"text":"你到底是怎么回事……"}]														
168	3018	2		21	五河琴里	[{"text":"哎呀，这就结束了吗？我还以为稍微能有点——……"}]														
169	3018	3		21	五河琴里	[{"text":"哈啊！？……糟糕……力量使用过度了……"}]														
170	3018	4		11	时崎狂三	[{"text":"看来你的好运到此——"}]														
171	3018	5		22	五河琴里	[{"text":"呵……呵呵……呵呵呵呵！"}]														
172	3018	6		22	五河琴里	[{"text":"战争还没有结束，来吧，来继续厮杀吧！狂三！"}]														
173	3019	1	3-3-4结束	22	五河琴里	[{"text":"哈哈哈，哈哈哈哈，哈哈哈哈哈哈！"}]														
174	3019	2		21	五河琴里	[{"text":"狂三……拿起你的枪。"}]														
175	3019	3		21	五河琴里	[{"text":"你所希望的战争，还没有结束。"}]														
176	3019	4		11	时崎狂三	[{"text":"嘶……！"}]														
177	3019	5		21	五河琴里	[{"text":"是嘛……真是无趣啊，如果你已经无法举起你的武器的话……"}]														
178	3019	6		22	五河琴里	[{"text":"就准备受死吧！"}]														
179	4001	1	4-1-4开场	21	鸢一折纸	[{"text":"DEM送来的新武器就在前面的仓库吗……"}]														
180	4002	1	4-1-4结束	21	鸢一折纸	[{"text":"抱歉了，诸位……"}]														
181	4003	1	4-1-5结束	21	鸢一折纸	[{"text":"只要有这个，就能杀死精灵了。"}]														
182	4003	2		22	鸢一折纸	[{"text":"五河琴里……伊芙利特！"}]														
183	4004	1	4-3-1结束	11	五河琴里	[{"text":"什么嘛，你的玩具这么经不起折腾吗？"}]														
184	4004	2		11	五河琴里	[{"text":"既然你无法战斗了，就没必要留你一命了。"}]														
185	4004	3		22	鸢一折纸	[{"text":"伊芙……利特！"}]														
186	4004	4		11	五河琴里	[{"text":"你竟然直到这个让人厌恶的名字呢……"}]														
187	4004	5		22	鸢一折纸	[{"text":"你就是这样……在五年前……把我的父母，杀掉的吗！"}]														
188	4004	6		11	五河琴里	[{"text":"你……说什么……？"}]														
189	4004	7		22	鸢一折纸	[{"text":"我要杀死你……为我的父母报仇！伊芙利特！"}]														
190	4004	8		11	五河琴里	[{"text":"怎、怎么会……我……？"}]														
191	4004	9		11	五河琴里	[{"text":"咕啊——……力量在……"}]														
192	4005	1	4-3-2开场1	22	鸢一折纸	[{"text":"这次不会再失手了……White Lycoris 临界驱动！"}]														
193	4005	2		22	鸢一折纸	[{"text":"五河……琴里……。伊芙利特！"}]														
194	4006	1	4-3-2开场2	12	夜刀神十香	[{"text":"不会让你得逞的！"}]														
195	4006	2		22	四糸乃	[{"text":"请……请住手！"}]														
196	4006	3		22	鸢一折纸	[{"text":"夜刀神……十香！"}]														
197	4007	1	4-3-2结束	12	夜刀神十香	[{"text":"鸢一折纸，我不能让你杀了琴里！"}]														
198	4007	2		22	鸢一折纸	[{"text":"你又知道什么！"}]														
199	4007	3		12	夜刀神十香	[{"text":"我当然直到！你忘了你对 %s 做过的事情吗！"}]														
200	4007	4		12	夜刀神十香	[{"text":"失去 %s 的那个瞬间，那种痛苦，那种悲伤……！"}]														
201	4007	5		12	夜刀神十香	[{"text":"我是绝对不会忘记的！"}]														
202	4007	6		12	夜刀神十香	[{"text":"鸢一折纸，你也想让 %s 体会那种痛苦吗！"}]														
203	4007	7		22	鸢一折纸	[{"text":"我必须……报仇……不要妨碍我！"}]														
204	4007	8		22	鸢一折纸	[{"text":"咕啊——！……"}]														
205	4007	9		21	鸢一折纸	[{"text":"活动……时限？竟然在这种时候？……"}]														
206	4008	1	5-1-4开场	11	八舞耶俱矢	[{"text":"吾辈之间决斗至今已经进行过五十三场了。"}]														
207	4008	2		21	八舞夕弦	[{"text":"铭记。十三胜十三负二十七平。"}]														
208	4008	3		12	八舞耶俱矢	[{"text":"这次就让我们来一个了断吧！"}]														
209	4008	4		21	八舞夕弦	[{"text":"同意。正合我意。"}]														
210	4009	1	5-2-3开场	12	八舞耶俱矢	[{"text":"挑战吾辈？汝等还真是不自量力呢，嗤嗤嗤！"}]														
211	4009	2		21	八舞夕弦	[{"text":"推测。对方肯定在想：耶俱矢？不足畏惧。"}]														
212	4009	3		11	八舞耶俱矢	[{"text":"呵！夕弦，你在旁边看着就好，不要妨碍我。"}]														
213	4009	4		21	八舞夕弦	[{"text":"反对。比较碍事的是耶俱矢才对。"}]														
214	4010	1	5-2-3过场	11	八舞耶俱矢	[{"text":"夕弦！？刚才明明能命中的！"}]														
215	4010	2		21	八舞夕弦	[{"text":"愤慨。耶俱矢才是，差点打到夕弦。"}]														
216	4010	3		11	夜刀神十香	[{"text":"哈哈，你们两个合在一起就是笨蛋组合呐。"}]														
217	4010	4		21	鸢一折纸	[{"text":"你们这种XX，就应该OOO互相XXX，这样才符合失败者。"}]														
218	4010	5		11	八舞耶俱矢	[{"text":"……"}]														
219	4010	6		11	八舞耶俱矢	[{"text":"呐，夕弦，做了她们？"}]														
220	4010	7		21	八舞夕弦	[{"text":"赞同。做了她们吧。"}]														
			5-2-3结束	12	八舞耶俱矢	[{"text":"耶，赢了！不愧是夕弦呐，刚才的迂回奠定了胜利！"}]														
				21	八舞夕弦	[{"text":"惭愧。耶俱矢的进攻非常帅气。"}]														
				12	八舞耶俱矢	[{"text":"啊哈哈，真让人害羞呐……哈！？——"}]														
				12	八舞耶俱矢	[{"text":"才才才没有称赞你！为吾所带来的胜利感到荣光吧！"}]														
				21	八舞夕弦	[{"text":"不悦。刚才为了配合你，做出了人生中最大的牺牲。"}]														
				21	八舞夕弦	[{"text":"现在回想起来，就像泥点一样难以洗净。"}]														
				12	八舞耶俱矢	[{"text":"你才没有牺牲那么多呢！"}]														
			5-3-3开场	11	八舞耶俱矢	[{"text":"决斗的胜利条件是——"}]														
				21	八舞夕弦	[{"text":"当然。已经很明了了。"}]														
				12	八舞耶俱矢/八舞夕弦	[{"text":"倒下的一方获得胜利！"}]														
			5-3-3结束	12	夜刀神十香	[{"text":"这样下去太危险了，我们快离开这儿！"}]														
			5-3-4开场1	11	夜刀神十香	[{"text":"%s ，小心，总觉得周围有什么东西……"}]														
			5-3-4开场2	11	夜刀神十香	[{"text":"你们是什么人！"}]														
				31		[{"text":"「——咔——咔。」"}]														
				12	夜刀神十香	[{"text":"不回答的话，就休怪我无情了！"}]														
			5-3-4BOSS	21	艾伦·马瑟斯	[{"text":"终于没有人会打扰我们了呢，十香小姐。"}]														
				11	夜刀神十香	[{"text":"那副装备……你难道是AST吗？"}]														
				21	艾伦·马瑟斯	[{"text":"很遗憾，猜错了，「公主」。"}]														
				21	艾伦·马瑟斯	[{"text":"不过自我介绍就以后在进行吧，现在我主要想——"}]														
				21	艾伦·马瑟斯	[{"text":"先试试你的身手，「公主」。"}]														
			5-3-4结束1	21	艾伦·马瑟斯	[{"text":"原来别人口中的「公主」，就只有这种程度吗？"}]														
				11	夜刀神十香	[{"text":"嘶！……"}]														
			5-3-4结束2	22	艾伦·马瑟斯	[{"text":"真是碍事！"}]														
				22	艾伦·马瑟斯	[{"text":"撤退命令？「盖提亚」遭到攻击！？我明白了！"}]														
				12	夜刀神十香	[{"text":"%s ！快！趁现在逃走！"}]														
			5-4-3开场	11	八舞耶俱矢	[{"text":"——那些人还真会找时机呢。"}]														
				21	八舞夕弦	[{"text":"同意。真希望能看看气氛。"}]														
				11	八舞耶俱矢	[{"text":"我说，夕弦。"}]														
				21	八舞夕弦	[{"text":"提案。耶俱矢。"}]														
				11	八舞耶俱矢	[{"text":"做了它们？"}]														
				21	八舞夕弦	[{"text":"肯定，做了它们吧。"}]														
			5-4-5结束	12	八舞耶俱矢	[{"text":"嗤嗤！真是一场值得后人称颂的胜利呢！"}]														
				21	八舞夕弦	[{"text":"赞歌。耶俱矢和夕弦的活跃看到了吗？"}]														
				12	八舞耶俱矢	[{"text":"只要有夕弦在，胜利女神就会站在我们这边！"}]														
				21	八舞夕弦	[{"text":"同意。耶俱矢的勇气，会鼓舞所有人。"}]														
				11	八舞耶俱矢	[{"text":"什么嘛，被你这么夸太让人心痒痒啦。"}]														
				21	八舞夕弦	[{"text":"微笑。笑容停不下来。嘻嘻。"}]														
			6-1-4开场	11	诱宵美九	[{"text":"啊，真是太美妙了，这才是客人嘛~"}]														
				11	诱宵美九	[{"text":"你们是来听我唱歌的吗？嘻嘻~"}]														
				21	杰西卡·贝莉	[{"text":"日下部上士，让我见识见识吧？"}]														
				22	日下部燎子	[{"text":"哼。A队，我们上！"}]														
			6-1-5BOSS战	11	诱宵美九	[{"text":"哈~你真可爱呢！~"}]														
				22	鸢一折纸	[{"text":"——！？"}]														
				11	诱宵美九	[{"text":"啊~这个反应也很可爱呢~"}]														
				11	诱宵美九	[{"text":"你没有什么朋友吧，那就让我——呀~！"}]														
				22	鸢一折纸	[{"text":"别开玩笑了！精灵！"}]														
			6-2-1开场	21	杰西卡·贝莉	[{"text":"哼，像小孩子过家家一样。"}]														
				21	杰西卡·贝莉	[{"text":"等等，那是……呵呵，居然真地出现在这里了。"}]														
				22	杰西卡·贝莉	[{"text":"阿尔法小队，更改任务，优先捕获「标本」！"}]														
				12	鸢一折纸	[{"text":"什么！？"}]														
			6-2-2BOSS	21	杰西卡·贝莉	[{"text":"你这是在做什么，下士。"}]														
				12	鸢一折纸	[{"text":"我才要问，你想对他做什么！"}]														
				22	杰西卡·贝莉	[{"text":"不关你的事，给我让开。否则就是违抗命令！"}]														
				12	鸢一折纸	[{"text":"攻击一般人的命令，我不会服从的！"}]														
			6-3-1开场	21	日下部燎子	[{"text":"要抓一个普通人？为什么？"}]														
				21	杰西卡·贝莉	[{"text":"我已经告诉过你们，这是机密事项。"}]														
				22	日下部燎子	[{"text":"不行，我不同意！"}]														
				21	杰西卡·贝莉	[{"text":"这事不需要你同意。你只要管住你的手下，别妨碍我们。"}]														
				21	日下部燎子	[{"text":"什么？如果你们想干架的话——"}]														
				11	鸢一折纸	[{"text":"算我一个。"}]														
			6-3-2结束	22	杰西卡·贝莉	[{"text":"可恶，你们给我记住了！"}]														
				22	日下部燎子	[{"text":"你说什么？我听不见！"}]														
				22	杰西卡·贝莉	[{"text":"哼！"}]														
			6-3-4开场	21	日下部燎子	[{"text":"折纸，你想做什么。"}]														
				11	鸢一折纸	[{"text":"我要去保护 %s 。"}]														
				21	日下部燎子	[{"text":"是嘛……看来是拦不住你了呢。"}]														
				11	鸢一折纸	[{"text":"……"}]														
				21	日下部燎子	[{"text":"哈欠……这么热的天，稍微打个盹吧。"}]														
				21	日下部燎子	[{"text":"我今天你才没有看到谁出入过基地呢。"}]														
				11	鸢一折纸	[{"text":"……抱歉，谢谢。"}]														
			6-4-2A1开场1	21	杰西卡·贝莉	[{"text":"我们已经抵达目的地上空。"}]														
				31		[{"text":"「很好，来让这场祭典更热闹一下吧。」"}]														
				21	杰西卡·贝莉	[{"text":"全员，开始进——"}]														
			6-4-2A1开场2	22	杰西卡·贝莉	[{"text":"竟然是White Lycoris！？"}]														
				21	杰西卡·贝莉	[{"text":"为什么你会开着那个——"}]														
				11	鸢一折纸	[{"text":"锁定坐标，随意领域展开。"}]														
				22	杰西卡·贝莉	[{"text":"可恶！"}]														
			6-4-2A1结束1	12	鸢一折纸	[{"text":"锁定，锁定，锁定——咳……防御性随意领域展开！"}]														
			6-4-2A1结束2	11	鸢一折纸	[{"text":"啊——！……怎么会……"}]														
				11	鸢一折纸	[{"text":"只要再坚持，再坚持一会儿就能……"}]														
				12	鸢一折纸	[{"text":"可恶……！"}]														
			6-4-2A2开场1	12	鸢一折纸	[{"text":"可恶……！"}]														
				21	杰西卡·贝莉	[{"text":"哈哈哈，看来你的时限赢到了。"}]														
				21	杰西卡·贝莉	[{"text":"虽然还想再多陪你玩一会儿，但我还有别的是要做。"}]														
				22	杰西卡·贝莉	[{"text":"你就感谢我能给你个痛快吧！"}]														
			6-4-2A2开场2	21	杰西卡·贝莉	[{"text":"怎么回事！？"}]														
				11	鸢一折纸	[{"text":"真那？"}]														
				21	崇宫真那	[{"text":"好久不见呢，鸢一上士，还有杰西卡。"}]														
				22	杰西卡·贝莉	[{"text":"<Adeptus 2>，为何要攻击我方！"}]														
				11	崇宫真那	[{"text":"对哦，你们还不知道，我已经从DEM离职了。"}]														
				11	崇宫真那	[{"text":"麻烦转告你们老板，我之后会去领我的辞退金的。"}]														
				11	崇宫真那	[{"text":"当然，是用他的人头来抵。"}]														
			6-4-2A3BOSS战	11	崇宫真那	[{"text":"你们居然还没被我吓到撤退吗？真是成长了不少呢。"}]														
				22	杰西卡·贝莉	[{"text":"不要小瞧我！「达人二号」！"}]														
				11	崇宫真那	[{"text":"能别用那个代号叫我了吗？很烦啊。"}]														
			6-4-2A3结束	22	杰西卡·贝莉	[{"text":"咕啊——！……"}]														
				11	崇宫真那	[{"text":"终于安静下来了。"}]														
				11	崇宫真那	[{"text":"你们带着她赶紧撤退吧，否则的话——"}]														
				22	DEM队员	[{"text":"噫！撤、撤退！"}]														
			6-4-2B1开场1	12	诱宵美九	[{"text":"别开玩笑了……我不承认这种结果！"}]														
				12	诱宵美九	[{"text":"「破军歌姬」！"}]														
			6-4-2B1开场2	22	夜刀神十香	[{"text":"发生了什么？%s ！没事——四糸乃！？"}]														
				21	四糸乃	[{"text":"你们……惹姐姐大人生气了……"}]														
				22	四糸奈	[{"text":"不能原谅哦，不能饶恕哦，要抓起来用酷刑哦！嘎哈！"}]														
				21	八舞耶俱矢	[{"text":"愚蠢之人，竟敢对姐姐大人不敬，只能赐你万死了。"}]														
				21	八舞夕弦	[{"text":"嘲笑。不会让你动姐姐大人的一根手指的。"}]														
				11	诱宵美九	[{"text":"呀~会场上竟然还有这么多精灵，你真坏呢~"}]														
				11	诱宵美九	[{"text":"各位~把她们抓起来~"}]														
			6-4-2B1结束	12	诱宵美九	[{"text":"什……么……？%s ，你竟然是男……男……男人！？"}]														
				12	诱宵美九	[{"text":"呀——！"}]														
				12	诱宵美九	[{"text":"肮脏！污秽！你竟敢欺骗我！"}]														
				12	诱宵美九	[{"text":"不可饶恕！不可饶恕！"}]														
			6-4-2B2开场	12	诱宵美九	[{"text":"不可饶恕！"}]														
				21	艾伦·马瑟斯	[{"text":"啊，真是热闹呢。"}]														
				11	诱宵美九	[{"text":"你是谁？"}]														
				11	艾伦·马瑟斯	[{"text":"我不找你，我要找的是——"}]														
				21	夜刀神十香	[{"text":"%s ！快逃！"}]														
				21	艾伦·马瑟斯	[{"text":"嚯？让别人逃走，自己留下来吗？还真是冷静的判断呢。"}]														
			6-4-2B2BOSS战	21	艾伦·马瑟斯	[{"text":"没关系，「公主」，只要抓到你就可以了。"}]														
				21	艾伦·马瑟斯	[{"text":"到时候，他也一定会再次来到我的面前的。"}]														
				22	夜刀神十香	[{"text":"不会如你所愿的！"}]														
			6-4-2B2 结束	11	诱宵美九	[{"text":"你们到底……想做什么……"}]														
				21	艾伦·马瑟斯	[{"text":"虽然我个人很想把你们一网打尽"}]														
				21	艾伦·马瑟斯	[{"text":"但现在的任务是把「公主」带回去"}]														
				21	艾伦·马瑟斯	[{"text":"不过放心好了，迟早有一天，会派我来接你们的"}]														
				21	艾伦·马瑟斯	[{"text":"再见。"}]														
			7-1-2开场1	11	时崎狂三	[{"text":"诱宵美九，其实曾经是人类。"}]														
				11	时崎狂三	[{"text":"啊啦，你竟然一点都不惊讶吗？不错不错。"}]														
				11	时崎狂三	[{"text":"好吧，时间宝贵，我们现在就去和她「谈判」吧。"}]														
			7-1-2开场2	21	诱宵美九	[{"text":"你好大的胆子，竟然还敢回到这里。"}]														
				22	诱宵美九	[{"text":"大家，抓住——这是怎么回事！？"}]														
				12	时崎狂三	[{"text":"嘻嘻嘻，在数量上，是不可能有人能胜过我的唷！"}]														
			7-1-3 BOSS战	22	诱宵美九	[{"text":"你到底是怎么一回事……！"}]														
				11	时崎狂三	[{"text":"你还不明白吗？看来必须给你好好上一课才行。"}]														
			7-1-3 结束	22	诱宵美九	[{"text":"呀！！！这是什么！！"}]														
				11	时崎狂三	[{"text":"撒，%s 同学，接下来就看你的了，我会尽量争取时间的。"}]														
			7-1-5 开始	22	八舞耶俱矢	[{"text":"你对姐姐大人做了什么！"}]														
				11	时崎狂三	[{"text":"嘛，反正也很无聊，我就来陪你们玩玩吧。"}]														
			7-1-5 结束	11	时崎狂三	[{"text":"%s 同学，时间差不多了哟。"}]														
				21	四糸乃	[{"text":"姐姐大人……没事吧……"}]														
				11	时崎狂三	[{"text":"虽然不知道你们谈得如何，不过现在必须撤退了呢。"}]														
				11	时崎狂三	[{"text":"感谢你们的盛情款待，再见~"}]														
			7-2-1 开始	11	时崎狂三	[{"text":"嘻嘻嘻，没想到你竟然还会邀请她来帮忙"}]														
				11	时崎狂三	[{"text":"你的意思是，有我在还不够吗？嘻嘻嘻~"}]														
				11	时崎狂三	[{"text":"嘛，我已经知道了十香小姐的位置。"}]														
				11	时崎狂三	[{"text":"我们现在就出发吧，我会帮你扫清道路的。"}]														
			7-2-2 BOSS登场	21	崇宫真那	[{"text":"你又在骚扰我的哥哥大人，「梦魇」。"}]														
				11	时崎狂三	[{"text":"请不要说得这么不雅好吗？我们可是在约会哦。"}]														
				22	崇宫真那	[{"text":"约会？谁会信啊。快点放开他！"}]														
			7-2-2 战斗结束	11	时崎狂三	[{"text":"哎呀，这才一段时间没见过，你又变强了吗？"}]														
				11	时崎狂三	[{"text":"而且……身体也有所恢复了。"}]														
				21	崇宫真那	[{"text":"我的事情不需要你关心。"}]														
				11	时崎狂三	[{"text":"嘛，看来已经这边已经不太需要我了。"}]														
				11	时崎狂三	[{"text":"%s 同学，下次再会吧。记得你欠我一个人情唷。"}]														
			7-2-4 Boss战	22	杰西卡·贝莉	[{"text":"真——那——！！！！！！！"}]														
				11	崇宫真那	[{"text":"杰西卡？你装备的那个是……Red Lycoris！"}]														
				22	杰西卡·贝莉	[{"text":"终于，终于有机会击败你了！只要我有这个！"}]														
				12	崇宫真那	[{"text":"杰西卡！赶快解除那套装备，你是驾驭不了的！"}]														
				22	杰西卡·贝莉	[{"text":"真——那——！受死吧！"}]														
			7-2-4 结束	22	杰西卡·贝莉	[{"text":"真——那——！不要跑！"}]														
				11	崇宫真那	[{"text":"真是缠人啊……哥哥大人，我先把杰西卡引开"}]														
				12	崇宫真那	[{"text":"你在这里不要动，我马上回来找你！"}]														
			7-2-5 BOSS战	22	杰西卡·贝莉	[{"text":"真那，崇宫·真那！"}]														
				12	崇宫真那	[{"text":"杰西卡！活动时限已经到了！不要再强撑了！"}]														
				21	杰西卡·贝莉	[{"text":"终于，我要取代你，成为——"}]														
				22	杰西卡·贝莉	[{"text":"咕啊！"}]														
				12	崇宫真那	[{"text":"杰西卡！"}]														
				22	杰西卡·贝莉	[{"text":"啊啊啊啊啊啊！我绝对不会输！"}]														
			7-2-5 结束	21	杰西卡·贝莉	[{"text":"咳咳……真、真那……"}]														
				21	杰西卡·贝莉	[{"text":"我很强大吧……我不会再输给任何人了……对吧……"}]														
				21	杰西卡·贝莉	[{"text":"韦斯考特大人……也会认同……我了吧……"}]														
				11	崇宫真那	[{"text":"嗯……当然了。"}]														
				21	杰西卡·贝莉	[{"text":"我……还想给韦斯考特大人倒一杯……咖啡……"}]														
				11	崇宫真那	[{"text":"嗯……我想他会高兴的。"}]														
				21	杰西卡·贝莉	[{"text":"是嘛……那真是太——咕呃——……"}]														
				11	崇宫真那	[{"text":"……"}]														
				12	崇宫真那	[{"text":"……艾萨克·韦斯考特！"}]														
			7-3-1A1 开场	11	鸢一折纸	[{"text":"%s ，千万不要出事。"}]														
			7-3-1A1 BOSS战	21	艾伦·马瑟斯	[{"text":"我还以为是谁呢，原来是你。"}]														
				21	艾伦·马瑟斯	[{"text":"算我多管闲事，你不好好躺在医院里，就不怕死吗？"}]														
				12	鸢一折纸	[{"text":"……让开！"}]														
				21	艾伦·马瑟斯	[{"text":"看来你的脑袋不太好用。算了，让我来给你个教训吧。"}]														
			7-3-1A1结束	22	艾伦·马瑟斯	[{"text":"什——！？"}]														
				21	艾伦·马瑟斯	[{"text":"哼！真不错啊，能伤到我的人，你还是第二个，鸢一折纸。"}]														
				12	鸢一折纸	[{"text":"哈……哈……嘁！"}]														
				21	艾伦·马瑟斯	[{"text":"嗯？艾克？……遵命！"}]														
				21	艾伦·马瑟斯	[{"text":"看来没时间了，算你走运。"}]														
				12	鸢一折纸	[{"text":"别……别想逃！"}]														
			7-3-1B1开场	12	时崎狂三	[{"text":"嘻嘻嘻，嘻嘻嘻嘻嘻！"}]														
				12	时崎狂三	[{"text":"撒，「我们」，狩猎时间才刚刚开始！"}]														
			7-3-1C1开场	22	八舞耶俱矢	[{"text":"嗤嗤嗤，愚蠢的人类啊，接下姐姐大人的愤怒吧！"}]														
				21	四糸乃	[{"text":"我……不想看到……姐姐大人伤心的样子……"}]														
					八舞夕弦															
			7-3-3开场																	
